,id,value_x,value_y,group,language,follower,friend,time
0,1394962093099606016,@famara2001 @skinheadface All the best Fam x,1.0,east,en,1131,1051,Wed May 19 10:24:14 +0000 2021
1,1394962121595760644,Kishwa! ğŸ˜�#MasterChefAU,0.0,east,ht,429,745,Wed May 19 10:24:21 +0000 2021
2,1394962138909876231,@UCL_CoPro Another take on paid participation @szczpanks,0.0,east,en,1191,1707,Wed May 19 10:24:25 +0000 2021
3,1394962150251241475,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,6797,2895,Wed May 19 10:24:28 +0000 2021
4,1394962200486465538,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,674,360,Wed May 19 10:24:40 +0000 2021
5,1394962212654129155,@emilybwebb @drahonaguha Iâ€™m enjoying when Iâ€™m in the car. Today was the Kimberley killer story. So insightful,0.5,east,en,387,1098,Wed May 19 10:24:43 +0000 2021
6,1394962214940028928,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,1158,322,Wed May 19 10:24:43 +0000 2021
7,1394962267372986368,Futsal (Wednesday) - Div 2: Sons of Pitches beat Afghan United (13 - 3) https://t.co/tQuPeHAiop,0.0,east,en,54,4,Wed May 19 10:24:56 +0000 2021
8,1394962383219662848,Seasonal cooking means making the most of fruit and vegetables that are at these best. One way to have seasonal infâ€¦ https://t.co/gXf4PGFYHg,0.75,east,en,4039,22,Wed May 19 10:25:23 +0000 2021
9,1394962460927528960,https://t.co/pKJ8Wzy94s,0.0,east,und,31,200,Wed May 19 10:25:42 +0000 2021
10,1394962531945431040,@austenite20 Agreed.,0.0,east,en,1757,3003,Wed May 19 10:25:59 +0000 2021
11,1394962595937984513,Sydney struggling to score against a bunch of training cones ğŸ¤£,0.0,east,en,517,1025,Wed May 19 10:26:14 +0000 2021
12,1394962653395759110,"@SavageShae Going off the screenshots I was sent, she got called out for her aggressiveness again.... oh and appareâ€¦ https://t.co/CQCdxqKJu0",0.0,east,en,810,1201,Wed May 19 10:26:28 +0000 2021
13,1394962657208381446,@jessradio @JaneCaro That is an absolute and utter disgrace! @nswpolice hang your heads in shame at this total failâ€¦ https://t.co/5fbXkSxELT,0.06666666666666667,east,en,376,161,Wed May 19 10:26:29 +0000 2021
14,1394962669850042369,Kishwar when are we all coming over to your place for a curry. #MasterChefAU,0.0,east,en,317,1586,Wed May 19 10:26:32 +0000 2021
15,1394962752804950018,@thehawkpunk Yup this weekend ğŸ˜�,0.0,east,en,206,538,Wed May 19 10:26:52 +0000 2021
16,1394962786367811585,@twbwy @OldManSakaki I don't agree with this ship lol,0.8,east,en,303,481,Wed May 19 10:27:00 +0000 2021
17,1394962828830855170,"Review decision reversed.
I swear the censorship board is a joke here.
Glad to get to play this finally, one day afâ€¦ https://t.co/otZ08wK4IS",0.25,east,en,613,927,Wed May 19 10:27:10 +0000 2021
18,1394962927900368902,@thehawkpunk Playing the snakes too ğŸ‘€,0.0,east,en,206,538,Wed May 19 10:27:33 +0000 2021
19,1394962939858272257,I can't help but think that worldwide travel in post #COVID19 2022 will reveal beautiful holiday spots that have turned to shit ğŸ˜‘,0.32499999999999996,east,en,38,159,Wed May 19 10:27:36 +0000 2021
20,1394962974209630209,@AHaermeyer Perfect solution to running a tram to Doncaster? Straight down the side of the Eastern Fwy?,0.3481481481481481,east,en,164,508,Wed May 19 10:27:44 +0000 2021
21,1394963146956279811,"@ChipReiderson @kweags I just the music clip, and heâ€™s eating a Sausage Roll. Now Iâ€™m craving one ğŸ˜‚",0.0,east,en,810,1201,Wed May 19 10:28:26 +0000 2021
22,1394963164459114507,Shame on you @theheraldsun https://t.co/aADvs1NuuL,0.0,east,en,1319,3282,Wed May 19 10:28:30 +0000 2021
23,1394963203478757376,@MoneyTone21 Yep i always do it with Final Fantasy 7 music lol!,0.5,east,en,303,481,Wed May 19 10:28:39 +0000 2021
24,1394963213918289924,@catedempsey True. Just plain shit journalism!,-0.0380952380952381,east,en,968,1023,Wed May 19 10:28:42 +0000 2021
