,id,value_x,value_y,group,language,follower,friend,time
0,1394927913015726082,@grifffff_ @RESPAWNProducts @PowerGPU Thanks ğŸ˜Š,0.2,west,en,651,330,Wed May 19 08:08:25 +0000 2021
1,1394933011217477633,RT @TickfordRacing: Testing ğŸ§ª and tuning ğŸ› ï¸� to track down more trophies ğŸ�† JC gives a quick recap on our test day at Winton and prep for nexâ€¦,0.22592592592592595,west,en,50,482,Wed May 19 08:28:41 +0000 2021
2,1394934027304329217,Very true! https://t.co/R6oSfzHZjr,0.56875,west,en,537,574,Wed May 19 08:32:43 +0000 2021
3,1394935335918866441,@79Jeffro @LoungeroomGm @BobandAndySEN How did Michael Long go with comments directed at him?,-0.05,west,en,40,145,Wed May 19 08:37:55 +0000 2021
4,1394935451140558848,"@Jamesbmclaren Its just called 'a little Lance', we'll know what you mean ğŸ˜‚",-0.25,west,en,190,1534,Wed May 19 08:38:22 +0000 2021
5,1394936551033884672,@grAntlerMensch The way we live our lives. One step at a time.,0.13636363636363635,west,en,489,783,Wed May 19 08:42:45 +0000 2021
6,1394936832505225219,Channel 7 news ..I could care less about about pells lack of comfort in prison...,-0.16666666666666666,west,en,380,576,Wed May 19 08:43:52 +0000 2021
7,1394937823975723009,Great to be a part of @HumeCityCouncil #Hume Jobs &amp; Skills Taskforce. This was a hybrid meeting with some zooming iâ€¦ https://t.co/mCWm8G14Wx,0.8,west,en,297,787,Wed May 19 08:47:48 +0000 2021
8,1394938074786799617,It looks amazing @WSMLLEN wish we were there. My view is an evening zoom meeting!!!! https://t.co/11NE1bBz1P,1.0,west,en,297,787,Wed May 19 08:48:48 +0000 2021
9,1394938638824132610,"Sydney Rd  (C722), Campbellfield - lanes closed inbound, Three lanes blocked inbound at Mahoneys Road,â€¦ https://t.co/EjNH8LwVbN #victraffic",-0.1,west,en,115098,106,Wed May 19 08:51:02 +0000 2021
10,1394939060897030147,@Mesut_Ausil @simo_393 The highlight for me was drinking your Long Island iced tea because you couldnâ€™t.,-0.05,west,en,612,281,Wed May 19 08:52:43 +0000 2021
11,1394939268322103303,"@twsy5 @superfooty @heraldsunmick A bloody strong appointment  

https://t.co/Hk48z1NcYi",-0.18333333333333338,west,en,21,212,Wed May 19 08:53:32 +0000 2021
12,1394939449616650240,@MaxRock222 @superfooty @heraldsunsport @heraldsunmick Would love to see you expand on this...,0.5,west,en,21,212,Wed May 19 08:54:16 +0000 2021
13,1394940148261945350,"Western Fwy  (M8), Brookfield - lanes closed outbound, One lane closed in both directions just westâ€¦ https://t.co/15woGVtTgr #victraffic",-0.06666666666666667,west,en,115098,106,Wed May 19 08:57:02 +0000 2021
14,1394945123650207744,@kitty_janusz I love these guys,0.5,west,en,538,452,Wed May 19 09:16:48 +0000 2021
15,1394947787712720899,@InteriorsAvenue @AllanRaskall What the hell is a shacket? And Al wears what he wants.,0.2,west,en,131,1092,Wed May 19 09:27:24 +0000 2021
16,1394950798870671364,"RT @RayMondeDeux: @cathywilcox1 @GrogsGamut I'm about to go off grid. 
I'll expect I'll be burning whale blubber to light my abode and huddâ€¦",0.4,west,en,411,963,Wed May 19 09:39:22 +0000 2021
