,id,value_x,value_y,group,language,follower,friend,time
0,1394962093099606016,@famara2001 @skinheadface All the best Fam x,1.0,east,en,1131,1051,Wed May 19 10:24:14 +0000 2021
1,1394962150251241475,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,6797,2895,Wed May 19 10:24:28 +0000 2021
2,1394962200486465538,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,674,360,Wed May 19 10:24:40 +0000 2021
3,1394962212654129155,@emilybwebb @drahonaguha Iâ€™m enjoying when Iâ€™m in the car. Today was the Kimberley killer story. So insightful,0.5,east,en,387,1098,Wed May 19 10:24:43 +0000 2021
4,1394962214940028928,RT @BadShepherdBrew: Bad Shepherd as seen on TV!  Our Brew Crew hit the airwaves on the latest ep of The Beer Pioneer with @mattstew_art onâ€¦,-0.1874999999999999,east,en,1158,322,Wed May 19 10:24:43 +0000 2021
5,1394962383219662848,Seasonal cooking means making the most of fruit and vegetables that are at these best. One way to have seasonal infâ€¦ https://t.co/gXf4PGFYHg,0.75,east,en,4039,22,Wed May 19 10:25:23 +0000 2021
6,1394962657208381446,@jessradio @JaneCaro That is an absolute and utter disgrace! @nswpolice hang your heads in shame at this total failâ€¦ https://t.co/5fbXkSxELT,0.06666666666666667,east,en,376,161,Wed May 19 10:26:29 +0000 2021
7,1394962786367811585,@twbwy @OldManSakaki I don't agree with this ship lol,0.8,east,en,303,481,Wed May 19 10:27:00 +0000 2021
8,1394962828830855170,"Review decision reversed.
I swear the censorship board is a joke here.
Glad to get to play this finally, one day afâ€¦ https://t.co/otZ08wK4IS",0.25,east,en,613,927,Wed May 19 10:27:10 +0000 2021
9,1394962939858272257,I can't help but think that worldwide travel in post #COVID19 2022 will reveal beautiful holiday spots that have turned to shit ğŸ˜‘,0.32499999999999996,east,en,38,159,Wed May 19 10:27:36 +0000 2021
10,1394962974209630209,@AHaermeyer Perfect solution to running a tram to Doncaster? Straight down the side of the Eastern Fwy?,0.3481481481481481,east,en,164,508,Wed May 19 10:27:44 +0000 2021
11,1394963203478757376,@MoneyTone21 Yep i always do it with Final Fantasy 7 music lol!,0.5,east,en,303,481,Wed May 19 10:28:39 +0000 2021
12,1394963213918289924,@catedempsey True. Just plain shit journalism!,-0.0380952380952381,east,en,968,1023,Wed May 19 10:28:42 +0000 2021
13,1394963216678195206,@naima I managed to avoid chicken pox. 3 times. It went through the house and nieces etc I cried because I didn't wâ€¦ https://t.co/hFSZ2hmcMN,-0.6,east,en,316,847,Wed May 19 10:28:42 +0000 2021
14,1394963370160398347,@TheStanchion JB isnâ€™t the problem. Seriously our drafting had been soo good. Plus having the Farm Team in Abby babâ€¦ https://t.co/jNZLL103h1,0.18333333333333332,east,en,76,834,Wed May 19 10:29:19 +0000 2021
15,1394963373863968768,Thank you targeted advertising for actually being good for once https://t.co/085iIsqIk9,0.35,east,en,21,70,Wed May 19 10:29:20 +0000 2021
16,1394963399071653894,"@leachitup Congratulations! Wonderful news, very happy for you both ğŸ�‰â�¤ï¸�",1.0,east,en,3525,1224,Wed May 19 10:29:26 +0000 2021
17,1394963453186543621,I just wona say I fuking love  @PaulineHansonOz  and @JacquiLambie get together and take My country backâ€¦ https://t.co/ynKhhogx6F,0.5,east,en,277,958,Wed May 19 10:29:39 +0000 2021
18,1394963487751819266,"@landry235 Oh yumm, can I have extra spuds please? Happy birthday Stu",0.4,east,en,1757,3003,Wed May 19 10:29:47 +0000 2021
19,1394963586984955909,@HawkTalkPod The smith one can fuck off heâ€™s dead to me ğŸ˜‚,-0.30000000000000004,east,en,513,296,Wed May 19 10:30:10 +0000 2021
20,1394963596451491842,@HawkTalkPod It was early but Roughies bump in 2014 was a 'we are looking like a winning team's moment https://t.co/SDxWDjOh0P,0.3,east,en,1241,710,Wed May 19 10:30:13 +0000 2021
21,1394963788571480067,@j_kaul @Kishjustathome I couldnâ€™t find her on Twitter thanks for locating @Kishjustathome for me ğŸ˜€ awesome job tonight ğŸ™ŒğŸ�¼,0.6,east,en,9295,1230,Wed May 19 10:30:59 +0000 2021
22,1394963889314480132,"I have a sudden craving for Original Smiths Crisps....
Can someone deliver me a bag?",0.1875,east,en,1841,1515,Wed May 19 10:31:23 +0000 2021
23,1394963913603694596,An older photo from me. We watched this Eastern Osprey catch a ripping King George Whiting from the rocky shore ofâ€¦ https://t.co/7CuqeJ6v7r,0.16666666666666666,east,en,114,144,Wed May 19 10:31:28 +0000 2021
24,1394963936739565572,"Smart move, kidâ€™s a keeper. https://t.co/EDf43ux6K7",0.21428571428571427,east,en,929,1285,Wed May 19 10:31:34 +0000 2021
25,1394964037159559168,Futsal (Wednesday): Swifties beat SIS (9 - 8) https://t.co/MFUmmntaGL,0.5,east,en,54,4,Wed May 19 10:31:58 +0000 2021
26,1394964072538546181,@Sheps71 I wish. Alas most people donâ€™t want op eds on that. I will do a OOH note.,0.04999999999999999,east,en,2626,1090,Wed May 19 10:32:06 +0000 2021
