,id,value_x,value_y,group,language,follower,friend,time
0,1394965330578055168,RT @maximum_sincere: Fuck it must be insanely fucked to watch Aussie news about Palestine as a Palestinian -- or anyone with Middle Easternâ€¦,-0.3333333333333333,mid,en,29,1389,Wed May 19 10:37:06 +0000 2021
1,1394965332650045441,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,545,906,Wed May 19 10:37:07 +0000 2021
2,1394965334239629315,Transvision Vamp - I Want Your Love,0.5,mid,en,52,65,Wed May 19 10:37:07 +0000 2021
3,1394965335762210823,@KumarSa46795869 @JhaSanjay Shameless bastards keep bringing an irrelevant into discussion.. oops have no achievemeâ€¦ https://t.co/LApGb8sghw,-0.5,mid,en,44,79,Wed May 19 10:37:07 +0000 2021
4,1394965341005045760,"@noplaceforsheep ğŸ‘�
Exactly, isnt it 'ageism'?
Threw that back at a few &amp; they went quiet.",0.012499999999999997,mid,en,668,280,Wed May 19 10:37:09 +0000 2021
5,1394965348600926210,@naima this social media world is small. I think the quiet storm playlist Iâ€™ve been listening to for the last 2 dayâ€¦ https://t.co/XON7fA8EfO,-0.05416666666666667,mid,en,124,262,Wed May 19 10:37:10 +0000 2021
6,1394965349943087107,"RT @zkTubeOfficial: Excellent #Ethereum #Layer2 projects are few, and even rare when it adopts #ZKRollup technology.
Now, #zkTube are proudâ€¦",0.3666666666666667,mid,en,18,951,Wed May 19 10:37:11 +0000 2021
7,1394965351914475520,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,2636,2901,Wed May 19 10:37:11 +0000 2021
8,1394965355018260480,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,81,110,Wed May 19 10:37:12 +0000 2021
9,1394965357329272833,"Nishan Velupillay finallyğŸ‘�ğŸ�¾  #SYDvMVC 

Always a class above during the high school years whenever he was out thereâ€¦ https://t.co/UWnTjXVqT1",0.08,mid,en,8817,597,Wed May 19 10:37:13 +0000 2021
10,1394965358461739010,Thereâ€™s so many people here at rainbow tonight that I know and itâ€™s such a wholesome feeling after the last week Iâ€™ve had âœ¨ğŸ’•,0.16666666666666666,mid,en,846,694,Wed May 19 10:37:13 +0000 2021
11,1394965360667942913,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,133,289,Wed May 19 10:37:13 +0000 2021
12,1394965369484455936,"RT @zkTubeOfficial: Excellent #Ethereum #Layer2 projects are few, and even rare when it adopts #ZKRollup technology.
Now, #zkTube are proudâ€¦",0.3666666666666667,mid,en,262,606,Wed May 19 10:37:15 +0000 2021
13,1394965370365153282,"RT @zkTubeOfficial: Excellent #Ethereum #Layer2 projects are few, and even rare when it adopts #ZKRollup technology.
Now, #zkTube are proudâ€¦",0.3666666666666667,mid,en,104,2616,Wed May 19 10:37:16 +0000 2021
14,1394965371455688708,@TonyCinema Thanks Tony,0.2,mid,en,5042,5100,Wed May 19 10:37:16 +0000 2021
15,1394965373615751168,"RT @cameyrick1: Writing historical fiction and singing and cats -  - Lisette Brodey chatting with me at her wonderful Writersâ€™ Chateau.
httâ€¦",0.5,mid,en,6173,5005,Wed May 19 10:37:16 +0000 2021
16,1394965375146680326,"RT @shazahrah: ??!! Melbourne shut down their economy waktu 2nd wave for three-four months mall, restaurants all closed. They can only go oâ€¦",-0.0638888888888889,mid,en,397,512,Wed May 19 10:37:17 +0000 2021
17,1394965376082104323,RT @EucalyptAus: New leaves budding amongst curly bark. Absolutely love the colours in this image and ecosystem! We're still getting aroundâ€¦,0.2871212121212121,mid,en,128,446,Wed May 19 10:37:17 +0000 2021
